time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-26 00:00:00+00:00,48,10,513,363
2024-09-27 00:00:00+00:00,195,11,643,365
2024-09-28 00:00:00+00:00,8,5,379,306
2024-09-29 00:00:00+00:00,3,2,405,315
2024-09-30 00:00:00+00:00,216,9,496,394
2024-10-01 00:00:00+00:00,255,21,383,90
2024-10-02 00:00:00+00:00,147,18,667,375
2024-10-03 00:00:00+00:00,89,14,670,424
2024-10-04 00:00:00+00:00,68,7,681,487
2024-10-05 00:00:00+00:00,15,4,528,425
2024-10-06 00:00:00+00:00,4,3,506,404
2024-10-07 00:00:00+00:00,67,8,722,508
2024-10-08 00:00:00+00:00,62,11,641,480
2024-10-09 00:00:00+00:00,179,15,717,476
