time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-23 00:00:00+00:00,45,11,81,21
2025-05-24 00:00:00+00:00,45,6,53,9
2025-05-25 00:00:00+00:00,41,8,9,4
2025-05-26 00:00:00+00:00,80,19,41,20
2025-05-27 00:00:00+00:00,61,14,63,26
2025-05-28 00:00:00+00:00,48,13,43,29
2025-05-29 00:00:00+00:00,62,13,42,28
2025-05-30 00:00:00+00:00,49,12,25,11
2025-05-31 00:00:00+00:00,55,8,58,9
2025-06-01 00:00:00+00:00,50,9,42,11
2025-06-02 00:00:00+00:00,479,67,145,45
2025-06-03 00:00:00+00:00,87,41,109,52
2025-06-04 00:00:00+00:00,47,13,140,33
2025-06-05 00:00:00+00:00,33,14,231,38
