time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-07 00:00:00+00:00,471,113,551,385
2025-03-08 00:00:00+00:00,135,64,394,324
2025-03-09 00:00:00+00:00,78,53,448,362
2025-03-10 00:00:00+00:00,389,87,562,372
2025-03-11 00:00:00+00:00,334,69,555,340
2025-03-12 00:00:00+00:00,428,80,492,339
2025-03-13 00:00:00+00:00,365,81,607,462
2025-03-14 00:00:00+00:00,322,71,531,406
2025-03-15 00:00:00+00:00,58,13,293,230
2025-03-16 00:00:00+00:00,45,9,328,254
2025-03-17 00:00:00+00:00,256,61,439,292
2025-03-18 00:00:00+00:00,257,50,541,299
2025-03-19 00:00:00+00:00,424,88,572,259
2025-03-20 00:00:00+00:00,221,66,397,247
