time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-06 00:00:00+00:00,404,30,381,255
2025-02-07 00:00:00+00:00,156,37,407,263
2025-02-08 00:00:00+00:00,88,27,372,238
2025-02-09 00:00:00+00:00,9,6,301,241
2025-02-10 00:00:00+00:00,375,54,496,369
2025-02-11 00:00:00+00:00,223,55,455,294
2025-02-12 00:00:00+00:00,332,65,418,281
2025-02-13 00:00:00+00:00,239,54,383,274
2025-02-14 00:00:00+00:00,326,70,421,257
2025-02-15 00:00:00+00:00,131,24,304,228
2025-02-16 00:00:00+00:00,170,36,341,249
2025-02-17 00:00:00+00:00,380,70,423,266
2025-02-18 00:00:00+00:00,217,48,465,286
2025-02-19 00:00:00+00:00,359,49,716,519
