time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-15 00:00:00+00:00,285,15,759,481
2024-10-16 00:00:00+00:00,123,11,761,481
2024-10-17 00:00:00+00:00,94,10,852,480
2024-10-18 00:00:00+00:00,119,11,695,451
2024-10-19 00:00:00+00:00,40,3,562,432
2024-10-20 00:00:00+00:00,2,2,580,443
2024-10-21 00:00:00+00:00,110,10,692,462
2024-10-22 00:00:00+00:00,190,15,670,411
2024-10-23 00:00:00+00:00,272,13,775,399
2024-10-24 00:00:00+00:00,301,28,894,446
2024-10-25 00:00:00+00:00,173,12,627,397
2024-10-26 00:00:00+00:00,16,5,614,380
2024-10-27 00:00:00+00:00,38,6,514,399
2024-10-28 00:00:00+00:00,185,8,658,399
