time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-13 00:00:00+00:00,71,29,96,32
2025-06-14 00:00:00+00:00,44,9,19,13
2025-06-15 00:00:00+00:00,49,13,31,19
2025-06-16 00:00:00+00:00,392,30,86,34
2025-06-17 00:00:00+00:00,74,26,179,35
2025-06-18 00:00:00+00:00,59,26,48,24
2025-06-19 00:00:00+00:00,55,20,103,42
2025-06-20 00:00:00+00:00,56,30,79,34
2025-06-21 00:00:00+00:00,51,22,21,16
2025-06-22 00:00:00+00:00,40,10,107,20
2025-06-23 00:00:00+00:00,66,26,73,30
2025-06-24 00:00:00+00:00,47,17,65,25
2025-06-25 00:00:00+00:00,44,16,87,31
2025-06-26 00:00:00+00:00,75,39,69,28
