time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-28 00:00:00+00:00,5,2,33,17
2024-12-29 00:00:00+00:00,2,1,33,22
2024-12-30 00:00:00+00:00,27,2,47,28
2024-12-31 00:00:00+00:00,7,5,47,29
2025-01-01 00:00:00+00:00,3,2,37,27
2025-01-02 00:00:00+00:00,73,8,146,58
2025-01-03 00:00:00+00:00,87,10,228,79
2025-01-04 00:00:00+00:00,5,2,64,28
2025-01-05 00:00:00+00:00,1,1,244,163
2025-01-06 00:00:00+00:00,212,12,339,152
2025-01-07 00:00:00+00:00,152,14,244,76
2025-01-08 00:00:00+00:00,97,7,198,67
2025-01-09 00:00:00+00:00,256,14,225,70
2025-01-10 00:00:00+00:00,152,7,714,74
