time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-05 00:00:00+00:00,50,18,235,38
2025-06-06 00:00:00+00:00,64,12,153,52
2025-06-07 00:00:00+00:00,36,7,54,32
2025-06-08 00:00:00+00:00,42,6,39,20
2025-06-09 00:00:00+00:00,143,22,111,48
2025-06-10 00:00:00+00:00,41,15,54,29
2025-06-11 00:00:00+00:00,125,52,143,29
2025-06-12 00:00:00+00:00,280,76,70,23
2025-06-13 00:00:00+00:00,71,29,96,32
2025-06-14 00:00:00+00:00,44,9,19,13
2025-06-15 00:00:00+00:00,49,13,31,19
2025-06-16 00:00:00+00:00,392,30,86,34
2025-06-17 00:00:00+00:00,74,26,179,35
2025-06-18 00:00:00+00:00,45,21,47,23
